Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,91.419998,91.419998,91.400002,91.419998,83.006210,347200
2015-07-20,91.400002,91.419998,91.400002,91.400002,82.988037,299400
2015-07-21,91.419998,91.419998,91.400002,91.419998,83.006210,530500
2015-07-22,91.419998,91.419998,91.400002,91.400002,82.988037,941000
2015-07-23,91.400002,91.419998,91.400002,91.400002,82.988037,111100
2015-07-24,91.400002,91.419998,91.400002,91.419998,83.006210,148250
2015-07-27,91.400002,91.419998,91.400002,91.400002,82.988037,436900
2015-07-28,91.419998,91.419998,91.400002,91.400002,82.988037,471900
2015-07-29,91.419998,91.419998,91.400002,91.419998,83.006210,264400
2015-07-30,91.400002,91.419998,91.400002,91.419998,83.006210,125550
2015-07-31,91.400002,91.419998,91.400002,91.419998,83.006210,788850
2015-08-03,91.419998,91.419998,91.400002,91.419998,83.006210,501750
2015-08-04,91.400002,91.419998,91.400002,91.400002,82.988037,2544550
2015-08-05,91.400002,91.419998,91.400002,91.400002,82.988037,235700
2015-08-06,91.419998,91.419998,91.400002,91.400002,82.988037,147700
2015-08-07,91.419998,91.419998,91.400002,91.400002,82.988037,86700
2015-08-10,91.400002,91.419998,91.400002,91.419998,83.006210,396250
2015-08-11,91.400002,91.419998,91.400002,91.400002,82.988037,31100
2015-08-12,91.419998,91.419998,91.400002,91.400002,82.988037,258300
2015-08-13,91.419998,91.419998,91.400002,91.400002,82.988037,57450
2015-08-14,91.400002,91.400002,91.379997,91.379997,82.969910,275200
2015-08-17,91.379997,91.400002,91.379997,91.379997,82.969910,198950
2015-08-18,91.379997,91.419998,91.379997,91.400002,82.988037,196700
2015-08-19,91.400002,91.419998,91.400002,91.419998,83.006210,219200
2015-08-20,91.379997,91.400002,91.379997,91.400002,82.988037,117100
2015-08-21,91.419998,91.419998,91.400002,91.400002,82.988037,1321450
2015-08-24,91.419998,91.440002,91.400002,91.400002,82.988037,3923250
2015-08-25,91.400002,91.419998,91.400002,91.400002,82.988037,3951700
2015-08-26,91.400002,91.419998,91.400002,91.419998,83.006210,1379650
2015-08-27,91.419998,91.419998,91.400002,91.400002,82.988037,303350
2015-08-28,91.419998,91.419998,91.400002,91.419998,83.006210,2947150
2015-08-31,91.419998,91.419998,91.400002,91.419998,83.006210,2775450
2015-09-01,91.419998,91.419998,91.400002,91.419998,83.006210,1368350
2015-09-02,91.400002,91.419998,91.400002,91.400002,82.988037,610700
2015-09-03,91.419998,91.419998,91.400002,91.419998,83.006210,313500
2015-09-04,91.400002,91.419998,91.400002,91.400002,82.988037,461550
2015-09-08,91.400002,91.419998,91.400002,91.400002,82.988037,1896250
2015-09-09,91.400002,91.419998,91.400002,91.400002,82.988037,223500
2015-09-10,91.400002,91.419998,91.379997,91.379997,82.969910,432750
2015-09-11,91.379997,91.400002,91.379997,91.400002,82.988037,273400
2015-09-14,91.379997,91.400002,91.379997,91.400002,82.988037,457050
2015-09-15,91.419998,91.419998,91.379997,91.379997,82.969910,201950
2015-09-16,91.379997,91.400002,91.379997,91.379997,82.969910,321450
